Date,Open,High,Low,Close,Adj Close,Volume
2024-12-31,"5,919.74","5,929.74","5,868.86","5,881.63","5,881.63","3,128,350,000"
2024-12-30,"5,920.67","5,940.79","5,869.16","5,906.94","5,906.94","3,433,250,000"
2024-12-27,"6,006.17","6,006.17","5,932.95","5,970.84","5,970.84","3,159,610,000"
2024-12-26,"6,024.97","6,049.75","6,007.37","6,037.59","6,037.59","2,904,530,000"
2024-12-24,"5,984.63","6,040.10","5,981.44","6,040.04","6,040.04","1,757,720,000"
2024-12-23,"5,940.25","5,978.25","5,902.57","5,974.07","5,974.07","3,593,280,000"
2024-12-20,"5,842.00","5,982.06","5,832.30","5,930.85","5,930.85","8,223,220,000"
2024-12-19,"5,912.71","5,935.52","5,866.07","5,867.08","5,867.08","4,896,880,000"
2024-12-18,"6,047.65","6,070.67","5,867.79","5,872.16","5,872.16","5,246,960,000"
2024-12-17,"6,052.55","6,057.68","6,035.19","6,050.61","6,050.61","4,544,500,000"
2024-12-16,"6,063.79","6,085.19","6,059.14","6,074.08","6,074.08","4,391,100,000"
2024-12-13,"6,068.17","6,078.58","6,035.77","6,051.09","6,051.09","3,584,960,000"
2024-12-12,"6,074.29","6,079.68","6,051.25","6,051.25","6,051.25","3,678,010,000"
2024-12-11,"6,060.15","6,092.59","6,060.15","6,084.19","6,084.19","4,269,950,000"
2024-12-10,"6,057.59","6,065.40","6,029.89","6,034.91","6,034.91","4,048,410,000"
2024-12-09,"6,083.01","6,088.51","6,048.63","6,052.85","6,052.85","4,556,460,000"
2024-12-06,"6,081.38","6,099.97","6,079.98","6,090.27","6,090.27","3,924,830,000"
2024-12-05,"6,089.03","6,094.55","6,072.90","6,075.11","6,075.11","4,212,020,000"
2024-12-04,"6,069.39","6,089.84","6,061.06","6,086.49","6,086.49","4,003,390,000"
2024-12-03,"6,042.97","6,052.07","6,033.39","6,049.88","6,049.88","4,095,000,000"
2024-12-02,"6,040.11","6,053.58","6,035.33","6,047.15","6,047.15","4,412,470,000"
2024-11-29,"6,003.98","6,044.17","6,003.98","6,032.38","6,032.38","2,444,420,000"
2024-11-27,"6,014.11","6,020.16","5,984.87","5,998.74","5,998.74","3,363,340,000"
2024-11-26,"6,000.03","6,025.42","5,992.27","6,021.63","6,021.63","3,835,170,000"
2024-11-25,"5,992.28","6,020.75","5,963.91","5,987.37","5,987.37","5,633,150,000"
2024-11-22,"5,944.36","5,972.90","5,944.36","5,969.34","5,969.34","4,141,420,000"
2024-11-21,"5,940.58","5,963.32","5,887.26","5,948.71","5,948.71","4,230,120,000"
2024-11-20,"5,914.34","5,920.67","5,860.56","5,917.11","5,917.11","3,772,620,000"
2024-11-19,"5,870.05","5,923.51","5,855.29","5,916.98","5,916.98","4,036,940,000"
2024-11-18,"5,874.17","5,908.12","5,865.95","5,893.62","5,893.62","3,983,860,000"
2024-11-15,"5,912.79","5,915.32","5,853.01","5,870.62","5,870.62","4,590,960,000"
2024-11-14,"5,989.68","5,993.88","5,942.28","5,949.17","5,949.17","4,184,570,000"
2024-11-13,"5,985.75","6,008.19","5,965.91","5,985.38","5,985.38","4,220,180,000"
2024-11-12,"6,003.60","6,009.92","5,960.08","5,983.99","5,983.99","4,243,400,000"
2024-11-11,"6,008.86","6,017.31","5,986.69","6,001.35","6,001.35","4,333,000,000"
2024-11-08,"5,976.76","6,012.45","5,976.76","5,995.54","5,995.54","4,666,740,000"
2024-11-07,"5,947.21","5,983.84","5,947.21","5,973.10","5,973.10","4,925,740,000"
2024-11-06,"5,864.89","5,936.14","5,864.89","5,929.04","5,929.04","6,329,530,000"
2024-11-05,"5,722.43","5,783.44","5,722.10","5,782.76","5,782.76","3,768,310,000"
2024-11-04,"5,725.15","5,741.43","5,696.51","5,712.69","5,712.69","3,602,060,000"
